Frame: 00031, Label: 0 Baches, Score: 0.95
Frame: 00033, Label: 0 Baches, Score: 0.98
Frame: 00159, Label: 0 Baches, Score: 0.96
Frame: 00160, Label: 0 Baches, Score: 0.86
Frame: 00161, Label: 0 Baches, Score: 0.98
Frame: 00162, Label: 0 Baches, Score: 0.98
Frame: 00164, Label: 0 Baches, Score: 0.94
Frame: 00198, Label: 0 Baches, Score: 0.87
Frame: 00202, Label: 0 Baches, Score: 0.93
Frame: 00203, Label: 0 Baches, Score: 0.88
Frame: 00204, Label: 0 Baches, Score: 0.98
Frame: 00211, Label: 0 Baches, Score: 0.92
Frame: 00213, Label: 0 Baches, Score: 0.93
Frame: 00215, Label: 0 Baches, Score: 0.94
Frame: 00220, Label: 0 Baches, Score: 0.86
Frame: 00279, Label: 0 Baches, Score: 0.90
Frame: 00338, Label: 0 Baches, Score: 0.89
Frame: 00345, Label: 0 Baches, Score: 0.97
Frame: 00346, Label: 0 Baches, Score: 0.97
Frame: 00347, Label: 0 Baches, Score: 0.86
Frame: 00349, Label: 0 Baches, Score: 0.87
Frame: 00351, Label: 0 Baches, Score: 0.88
Frame: 00352, Label: 0 Baches, Score: 0.93
Frame: 00353, Label: 0 Baches, Score: 0.98
Frame: 00354, Label: 0 Baches, Score: 0.94
Frame: 00355, Label: 0 Baches, Score: 0.92
Frame: 00356, Label: 0 Baches, Score: 0.90
Frame: 00358, Label: 0 Baches, Score: 0.85
Frame: 00385, Label: 0 Baches, Score: 0.90
Frame: 00386, Label: 0 Baches, Score: 0.92
Frame: 00387, Label: 0 Baches, Score: 0.94
Frame: 00388, Label: 0 Baches, Score: 0.95
Frame: 00389, Label: 0 Baches, Score: 0.96
Frame: 00392, Label: 0 Baches, Score: 0.93
Frame: 00393, Label: 0 Baches, Score: 0.91
Frame: 00394, Label: 0 Baches, Score: 0.95
Frame: 00395, Label: 0 Baches, Score: 0.95
Frame: 00396, Label: 0 Baches, Score: 0.97
Frame: 00399, Label: 0 Baches, Score: 0.89
Frame: 00401, Label: 0 Baches, Score: 0.91
Frame: 00402, Label: 0 Baches, Score: 0.94
Frame: 00411, Label: 0 Baches, Score: 0.87
Frame: 00474, Label: 0 Baches, Score: 0.93
Frame: 00475, Label: 0 Baches, Score: 0.99
Frame: 00476, Label: 0 Baches, Score: 0.98
Frame: 00477, Label: 0 Baches, Score: 0.98
Frame: 00478, Label: 0 Baches, Score: 0.96
Frame: 00479, Label: 0 Baches, Score: 0.97
Frame: 00484, Label: 0 Baches, Score: 1.00
Frame: 00485, Label: 0 Baches, Score: 0.98
Frame: 00486, Label: 0 Baches, Score: 0.97
Frame: 00487, Label: 0 Baches, Score: 0.94
Frame: 00488, Label: 0 Baches, Score: 0.98
Frame: 00489, Label: 0 Baches, Score: 0.96
Frame: 00490, Label: 0 Baches, Score: 0.98
Frame: 00491, Label: 0 Baches, Score: 0.95
Frame: 00492, Label: 0 Baches, Score: 0.94
Frame: 00493, Label: 0 Baches, Score: 0.96
Frame: 00494, Label: 0 Baches, Score: 0.91
Frame: 00497, Label: 0 Baches, Score: 0.88
Frame: 00498, Label: 0 Baches, Score: 0.86
Frame: 00507, Label: 0 Baches, Score: 0.87
Frame: 00509, Label: 0 Baches, Score: 0.85
Frame: 00511, Label: 0 Baches, Score: 0.87
Frame: 00512, Label: 0 Baches, Score: 0.86
Frame: 00513, Label: 0 Baches, Score: 0.88
Frame: 00515, Label: 0 Baches, Score: 0.93
Frame: 00516, Label: 0 Baches, Score: 0.93
Frame: 00517, Label: 0 Baches, Score: 0.93
Frame: 00518, Label: 0 Baches, Score: 0.86
Frame: 00522, Label: 0 Baches, Score: 0.93
Frame: 00523, Label: 0 Baches, Score: 0.98
Frame: 00524, Label: 0 Baches, Score: 0.98
Frame: 00525, Label: 0 Baches, Score: 0.98
Frame: 00526, Label: 0 Baches, Score: 0.93
Frame: 00527, Label: 0 Baches, Score: 0.96
Frame: 00528, Label: 0 Baches, Score: 0.98
Frame: 00529, Label: 0 Baches, Score: 0.97
Frame: 00530, Label: 0 Baches, Score: 0.98
Frame: 00531, Label: 0 Baches, Score: 0.97
Frame: 00532, Label: 0 Baches, Score: 0.97
Frame: 00533, Label: 0 Baches, Score: 0.96
Frame: 00534, Label: 0 Baches, Score: 0.97
Frame: 00535, Label: 0 Baches, Score: 0.98
Frame: 00536, Label: 0 Baches, Score: 0.99
Frame: 00537, Label: 0 Baches, Score: 0.95
Frame: 00538, Label: 0 Baches, Score: 0.90
Frame: 00539, Label: 0 Baches, Score: 0.99
Frame: 00540, Label: 0 Baches, Score: 0.94
Frame: 00541, Label: 0 Baches, Score: 0.90
Frame: 00543, Label: 0 Baches, Score: 0.96
Frame: 00544, Label: 0 Baches, Score: 0.99
Frame: 00546, Label: 0 Baches, Score: 0.89
Frame: 00547, Label: 0 Baches, Score: 0.95
Frame: 00548, Label: 0 Baches, Score: 0.94
Frame: 00552, Label: 0 Baches, Score: 0.95
